Time [s], Analyzer Name, Decoded Protocol Result
0.997208000000000,I2C,Setup Write to ['184'] + NAK
1.007585500000000,I2C,Setup Write to ['184'] + ACK
1.007766500000000,I2C,'3' + ACK
1.007934000000000,I2C,'0' + ACK
1.008101000000000,I2C,'4' + ACK
1.010366500000000,I2C,Setup Read to ['185'] + ACK
1.010557000000000,I2C,'3' + ACK
1.010728000000000,I2C,'4' + ACK
1.010899500000000,I2C,'2' + ACK
1.011071000000000,I2C,U + ACK
1.011242500000000,I2C,'0' + ACK
1.011414000000000,I2C,'242' + ACK
1.011585500000000,I2C,a + ACK
1.011761500000000,I2C,'197' + NAK
4.135229000000000,I2C,Setup Write to ['184'] + NAK
4.145549500000000,I2C,Setup Write to ['184'] + ACK
4.145730500000000,I2C,'3' + ACK
4.145898000000000,I2C,'0' + ACK
4.146065000000000,I2C,'4' + ACK
4.148317000000000,I2C,Setup Read to ['185'] + ACK
4.148507500000000,I2C,'3' + ACK
4.148679000000000,I2C,'4' + ACK
4.148850500000000,I2C,'2' + ACK
4.149021500000000,I2C,V + ACK
4.149193000000000,I2C,'0' + ACK
4.149364500000000,I2C,'242' + ACK
4.149536000000000,I2C,'145' + ACK
4.149712000000000,I2C,'197' + NAK
9.141196500000000,I2C,Setup Write to ['184'] + NAK
9.151505999999999,I2C,Setup Write to ['184'] + ACK
9.151683000000000,I2C,'3' + ACK
9.151850500000000,I2C,'0' + ACK
9.152017499999999,I2C,'4' + ACK
9.154270500000001,I2C,Setup Read to ['185'] + ACK
9.154461000000000,I2C,'3' + ACK
9.154632500000000,I2C,'4' + ACK
9.154804000000000,I2C,'2' + ACK
9.154975500000001,I2C,V + ACK
9.155146999999999,I2C,'0' + ACK
9.155317999999999,I2C,'242' + ACK
9.155489500000000,I2C,'145' + ACK
9.155665500000000,I2C,'197' + NAK
14.136673500000001,I2C,Setup Write to ['184'] + NAK
14.146981500000001,I2C,Setup Write to ['184'] + ACK
14.147157999999999,I2C,'3' + ACK
14.147325500000001,I2C,'0' + ACK
14.147492500000000,I2C,'4' + ACK
14.149745500000000,I2C,Setup Read to ['185'] + ACK
14.149936000000000,I2C,'3' + ACK
14.150107000000000,I2C,'4' + ACK
14.150278500000001,I2C,'2' + ACK
14.150449999999999,I2C,U + ACK
14.150621500000000,I2C,'0' + ACK
14.150793000000000,I2C,'242' + ACK
14.150964500000001,I2C,a + ACK
14.151140500000000,I2C,'197' + NAK
